CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
17701,FAP-FACULDADE DE PINHEIROS,FAP,Privada,N,N,N,Faculdade,000000003204104,Pinheiros,ES,Extinta
21420,Escola de Inteligência Militar do Exército,EsIMEx,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000005300108,Brasília,DF,Ativa
19883,Faculdade Sul Paulista de Itanhaém,FASUPI,Privada,N,N,N,Faculdade,000000003522109,Itanhaém,SP,Ativa
1936,CENTRO UNIVERSITÁRIO LA SALLE,UNILASALLE - LUCAS,Privada,N,N,N,Centro Universitário,000000005105259,Lucas do Rio Verde,MT,Ativa
3631,FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ,FADIC,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Ativa
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública,N,N,N,Universidade,000000003170206,Uberlândia,MG,Ativa
1676,CENTRO UNIVERSITÁRIO SÃO MIGUEL,UNISÃOMIGUEL,Privada,N,N,N,Centro Universitário,000000002611606,Recife,PE,Ativa
1910,FACULDADE UNINASSAU LAURO DE FREITAS,null,Privada,N,N,N,Faculdade,000000002919207,Lauro de Freitas,BA,Ativa
22716,FACULDADE PITÁGORAS DE PENÁPOLIS,,Privada,N,N,N,Faculdade,000000003537305,Penápolis,SP,Ativa
22713,FACULDADE DO OESTE POTIGUAR,FAOP,Privada,N,N,N,Faculdade,000000002412500,São Miguel,RN,Ativa
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Pública,N,N,N,Universidade,000000003106200,Belo Horizonte,MG,Ativa
18115,Faculdade Estácio de Goiânia,Estácio Goiânia,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Extinta
14245,Faculdade Presidente Antônio Carlos de Campina Verde,,Privada,N,N,N,Faculdade,000000003111101,Campina Verde,MG,Extinta
1745,Faculdade Interativa de São Paulo,FAISP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
4261,Faculdade CMB,CMB,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,Privada,N,N,N,Centro Universitário,000000005300108,Brasília,DF,Ativa
16602,FACULDADE DE EDUCAÇÃO ELIÂ,FACEEL,Privada,N,N,N,Faculdade,000000001507953,Tailândia,PA,Ativa
3875,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ,UNIFEG,Privada,N,N,N,Centro Universitário,000000003128709,Guaxupé,MG,Ativa
671,UNIVERSIDADE ANHANGUERA,UNIDERP,Privada,N,N,N,Universidade,000000005002704,Campo Grande,MS,Ativa
3223,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,Pública,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
19287,Faculdade do Centro Maranhense,FCMA,Privada,N,N,N,Faculdade,000000002101608,Barra do Corda,MA,Ativa
24383,FACULDADE NACIONAL DE NATUROPATIA  ADMINISTRAÇÃO E PEDAGOGIA,FANNAP,Privada,N,N,N,Faculdade,000000004313409,Novo Hamburgo,RS,Ativa
24326,FACULDADE ESSA EDUCACAO PROFISSIONAL,UNIESSA,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
2908,CENTRO UNIVERSITÁRIO NATALENSE,UNICEUNA,Privada,N,N,N,Centro Universitário,000000002408102,Natal,RN,Ativa
2012,INSTITUTO SUPERIOR DE EDUCAÇÃO DE PESQUEIRA,ISEP,Privada,N,N,N,Faculdade,000000002610905,Pesqueira,PE,Extinta
14156,Faculdade Presidente Antônio Carlos de Teófilo Otoni,null,Privada,N,N,N,Faculdade,000000003168606,Teófilo Otoni,MG,Ativa
21906,Faculdade Metropolitana do Ceará,FAMEC,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Ativa
661,FACULDADE PIO DÉCIMO,FPD,Privada,N,N,N,Faculdade,000000002800308,Aracaju,SE,Ativa
1573,CENTRO UNIVERSITÁRIO ALFREDO NASSER,UNIFAN,Privada,N,N,N,Centro Universitário,000000005201405,Aparecida de Goiânia,GO,Ativa
15508,Centro de Ensino Unificado do Piauí,CEUPI,Privada,N,N,N,Faculdade,000000002211001,Teresina,PI,Ativa
1113,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,Privada,N,N,N,Centro Universitário,000000005300108,Brasília,DF,Ativa
19956,FACULDADE UNIRB JOÃO PESSOA,F.UNIRB,Privada,N,N,N,Faculdade,000000002507507,João Pessoa,PB,Ativa
2356,FACULDADE PAN AMERICANA,FPA,Privada,N,N,N,Faculdade,000000001502202,Capanema,PA,Ativa
14124,Faculdade Presidente Antônio Carlos de Buritis,FUNEES Buritis,Privada,N,N,N,Faculdade,000000003109303,Buritis,MG,Extinta
2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,Privada,N,N,N,Centro Universitário,000000002611606,Recife,PE,Ativa
13717,FACULDADES DO VALE DO ARARANGUA - FVA,FVA,Privada,N,N,N,Faculdade,000000004201406,Araranguá,SC,Ativa
14321,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE FORTALEZA,UNINASSAU FORTALEZA,Privada,N,N,N,Centro Universitário,000000002304400,Fortaleza,CE,Ativa
21869,Faculdade Rachel de Queiroz,FAQ,Privada,N,N,N,Faculdade,000000004119905,Ponta Grossa,PR,Ativa
515,Centro Universitário Anhanguera Pitágoras Unopar de Niterói,UNIAN-RJ,Privada,N,N,N,Centro Universitário,000000003303302,Niterói,RJ,Ativa
17886,Faculdade de Educação Sul do Piauí,,Privada,N,N,N,Faculdade,000000002210003,São João do Piauí,PI,Ativa
441,UNIVERSIDADE DO CONTESTADO,UNC,Privada,N,N,N,Universidade,000000004210100,Mafra,SC,Ativa
1938,FACULDADE DE UMUARAMA,null,Privada,N,N,N,Faculdade,000000004128104,Umuarama,PR,Extinta
2927,FACULDADE DE BELO HORIZONTE,FDR,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
24553,FACULDADE VINCIT,VINCIT,Privada,N,N,N,Faculdade,000000004115200,Maringá,PR,Ativa
17499,FACULDADE VIDAL,FAVILI,Privada,N,N,N,Faculdade,000000002307601,Limoeiro do Norte,CE,Ativa
22771,FACULDADE CRISTO REI,FACCREI,Privada,N,N,N,Faculdade,000000004106407,Cornélio Procópio,PR,Ativa
1013,FACULDADE SUDOESTE PAULISTANO,FASUP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
23875,Faculdade Instituto de Ensino Superior,FACIES,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Ativa
19783,FACULDADE ANHANGUERA DE PARAGOMINAS,FPP,Privada,N,N,N,Faculdade,000000001505502,Paragominas,PA,Ativa
3428,FACULDADE ALFA AMÉRICA,null,Privada,N,N,N,Faculdade,000000003541000,Praia Grande,SP,Ativa
20052,Faculdade ABC de Goiânia,FABC,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Ativa
1373,FACULDADE CASA BRANCA,FACAB,Privada,N,N,N,Faculdade,000000003510807,Casa Branca,SP,Ativa
14225,Faculdade Presidente Antônio Carlos de Felixlândia,FUNEES,Privada,N,N,N,Faculdade,000000003125705,Felixlândia,MG,Extinta
18062,Faculdade Marechal Rondon,,Privada,N,N,N,Faculdade,000000001100304,Vilhena,RO,Ativa
15585,Faculdade de Tecnologia Santo André,FATEC-SA,Pública,N,N,N,Faculdade,000000003547809,Santo André,SP,Ativa
1903,FACULDADE CRISTO REI,FACCREI,Privada,N,N,N,Faculdade,000000004106407,Cornélio Procópio,PR,Ativa
1830,FACULDADE ANHANGUERA DE PASSO FUNDO,,Privada,N,N,N,Faculdade,000000004314100,Passo Fundo,RS,Ativa
57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pública,N,N,N,Universidade,000000004115200,Maringá,PR,Ativa
14117,Faculdade Presidente Antônio Carlos de Piranguinho,FUNEES Piranguinho,Privada,N,N,N,Faculdade,000000003151008,Piranguinho,MG,Extinta
13728,FACULDADE DOS CARAJÁS,null,Privada,N,N,N,Faculdade,000000001504208,Marabá,PA,Ativa
2591,EPGE Escola Brasileira de Economia e Finanças,FGV EPGE,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
22422,Fundação Dom Cabral,,Privada,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000003144805,Nova Lima,MG,Ativa
4026,FACULDADE DE TECNOLOGIA ZONA LESTE,FATEC-ZL,Pública,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
1890,FACULDADE INTEGRADA DE GOIÁS,FIG,Privada,N,N,N,Faculdade,000000005208707,Goiânia,GO,Extinta
21897,FACULDADE MAURÍCIO DE NASSAU DE PONTA GROSSA,FMN PONTAGROSSA,Privada,N,N,N,Faculdade,000000004119905,Ponta Grossa,PR,Extinta
17614,ESCOLA DA ADVOCACIA-GERAL DA UNIÃO,EAGU,Pública,N,N,N,Escola de Governo,000000005300108,Brasília,DF,Ativa
23229,Faculdade Alfredo Nasser de Pontalina,,Privada,N,N,N,Faculdade,000000005217708,Pontalina,GO,Ativa
11817,FACULDADE DO POVO,FAP,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
3823,INSTITUTO DE EDUCAÇÃO SUPERIOR DE POUSO ALEGRE,null,Privada,N,N,N,Faculdade,000000003152501,Pouso Alegre,MG,Ativa
131,Faculdade de Tecnologia do Brasil,FAT Brasil,Privada,N,N,N,Faculdade,000000003505302,Barra Bonita,SP,Ativa
23948,Faculdades Famep -  Unidade Uruçui - PI,FAMEP,Privada,N,N,N,Faculdade,000000002211209,Uruçuí,PI,Ativa
3940,FACULDADE DE ENSINO SUPERIOR SANTA BARBARA,FAESB,Privada,N,N,N,Faculdade,000000003554003,Tatuí,SP,Ativa
21437,Escola de Saúde do Exército,EsSEx,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,000000003304557,Rio de Janeiro,RJ,Extinta
22433,Faculdades FAMEP Unidade Parnaíba - PI,FAMEP,Privada,N,N,N,Faculdade,000000002207702,Parnaíba,PI,Ativa
1619,FACULDADE DE OLÍMPIA,null,Privada,N,N,N,Faculdade,000000003533908,Olímpia,SP,Ativa
550,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Pública,N,N,N,Universidade,000000002504009,Campina Grande,PB,Ativa
17803,Faculdade Estácio de Rio Preto,Estácio Rio Preto,Privada,N,N,N,Faculdade,000000003549805,São José do Rio Preto,SP,Ativa
21956,FACULDADE METROPOLITANA DE PALHOÇA,FAMEPALHOÇA,Privada,N,N,N,Faculdade,000000004211900,Palhoça,SC,Ativa
1564,FACULDADE SUL FLUMINENSE,FASF,Privada,N,N,N,Faculdade,000000003306305,Volta Redonda,RJ,Ativa
2104,FACULDADE DE TEOLOGIA DE HOKEMÃH,FATEH,Privada,N,N,N,Faculdade,000000002112902,Vitória do Mearim,MA,Extinta
715,FAE CENTRO UNIVERSITÁRIO,null,Privada,N,N,N,Centro Universitário,000000004106902,Curitiba,PR,Ativa
319,UNIVERSIDADE BRASIL,UB,Privada,N,N,N,Universidade,000000003550308,São Paulo,SP,Ativa
38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Pública,N,N,N,Universidade,000000001501402,Belém,PA,Ativa
4772,FACULDADE BI SOCIAL QUARESMA,null,Privada,N,N,N,Faculdade,000000003525904,Jundiaí,SP,Extinta
19357,Faculdade Afonso Schmidt,FAS,Privada,N,N,N,Faculdade,000000003513504,Cubatão,SP,Extinta
4700,FACULDADE NOVA ROMA,FNR,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Ativa
1904,FACULDADE SÃO CAMILO,FASC,Privada,N,S,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
2273,INSTITUTO SUPERIOR DE EDUCAÇÃO DO ALTO SÃO FRANCISCO,ISEASF,Privada,N,N,N,Faculdade,000000003151503,Piumhi,MG,Extinta
3993,FACULDADE DE TECNOLOGIA CETEP,CETEP,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Extinta
5550,FACULDADE ANHANGUERA DE ANÁPOLIS,null,Privada,N,N,N,Faculdade,000000005201108,Anápolis,GO,Ativa
1822,Centro Universitário Sul-Americana,UNIFASAM,Privada,N,N,N,Centro Universitário,000000005208707,Goiânia,GO,Ativa
796,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO,EDUVALE,Privada,N,N,N,Faculdade,000000005104807,Jaciara,MT,Ativa
5362,Faculdade UNIRB - ARACAJU,F. UNIRB,Privada,N,N,N,Faculdade,000000002800308,Aracaju,SE,Ativa
924,FACULDADE INTERLAGOS DE EDUCAÇÃO E CULTURA,FINTEC,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
763,CENTRO UNIVERSITÁRIO DE GOIÂNIA,UNICEUG,Privada,N,N,N,Centro Universitário,000000005208707,Goiânia,GO,Ativa
19320,Escola de Políticas Públicas e Governo da Fundação Getulio Vargas,FGV EPPG,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
3983,CENTRO UNIVERSITÁRIO DE FORMIGA,UNIFORMG,Privada,N,N,N,Centro Universitário,000000003126109,Formiga,MG,Ativa
3538,FACULDADE FAE SÉVIGNÉ PORTO ALEGRE,FAE SÉVIGNÉ,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Extinta
2444,Faculdade Unirb - Barreiras,F. UNIRB,Privada,N,N,N,Faculdade,000000002903201,Barreiras,BA,Ativa
234,FACULDADES OSWALDO CRUZ,FOC,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
11818,Faculdade Inspirar,Inspirar,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Ativa
17395,Instituto Educacional das Américas,IEA Educacional,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
17401,Faculdade de Tecnologia CNA,FATECNA,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
1072,FACULDADE AFIRMATIVO,FAFI,Privada,N,N,N,Faculdade,000000005103403,Cuiabá,MT,Extinta
3946,FACULDADE SENAC TUBARÃO,null,Privada,N,N,N,Faculdade,000000004218707,Tubarão,SC,Ativa
278,FACULDADES INTEGRADAS SIMONSEN,FIS,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Ativa
23097,Faculdade Ibmec de Brasília,Ibmec Brasília,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,Pública,N,N,N,Universidade,000000003101607,Alfenas,MG,Ativa
22245,FACULDADE DO CARIRI PARAIBANO,UNICIR,Privada,N,N,N,Faculdade,000000002516300,Sumé,PB,Ativa
4053,FACULDADE SKEMA BUSINESS SCHOOL,SKEMA,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
1727,FACULDADE DE CARIACICA,FAC DE CARIACICA,Privada,N,N,N,Faculdade,000000003201308,Cariacica,ES,Ativa
740,FACULDADE DE CIÊNCIAS HUMANAS DE VITÓRIA,FAVIX,Privada,N,N,N,Faculdade,000000003205309,Vitória,ES,Extinta
22327,Faculdade São Tomás de Aquino de Nova Lima,FACTAN,Privada,N,N,N,Faculdade,000000003144805,Nova Lima,MG,Ativa
1866,Faculdade de Ciências Educacionais e Empresariais de Natal,FACEN,Privada,N,N,N,Faculdade,000000002408102,Natal,RN,Ativa
24201,Faculdade FISEPE,FISEPE,Privada,N,N,N,Faculdade,000000004314100,Passo Fundo,RS,Ativa
639,FACULDADE DE DESENHO INDUSTRIAL DE MAUÁ,FADIM,Privada,N,N,N,Faculdade,000000003529401,Mauá,SP,Extinta
14226,Faculdade Presidente Antônio Carlos de Jaboticatubas,FUNEES,Privada,N,N,N,Faculdade,000000003134608,Jaboticatubas,MG,Extinta
22911,Faculdade  do Sertão Central  EAD,FASEC EAD,Privada,N,N,N,Faculdade,000000002308351,Milhã,CE,Ativa
15521,FACULDADE CATÓLICA DE SÃO JOSÉ DOS CAMPOS,CATÓLICA-SJC,Privada,N,N,N,Faculdade,000000003549904,São José dos Campos,SP,Ativa
2009,FACULDADE DE TAQUARITINGA,FTGA,Privada,N,N,N,Faculdade,000000003553708,Taquaritinga,SP,Ativa
952,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Privada,N,N,N,Universidade,000000003548500,Santos,SP,Ativa
18211,FACULDADE UNINASSAU CABO,null,Privada,N,N,N,Faculdade,000000002602902,Cabo de Santo Agostinho,PE,Ativa
56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pública,N,N,N,Universidade,000000003550308,São Paulo,SP,Ativa
5071,FACULDADE NORTE CAPIXABA DE SÃO MATEUS - FAMAT,FAMAT,Privada,N,N,N,Faculdade,000000003204906,São Mateus,ES,Extinta
19878,FACULDADE BRAVIUM,BRAVIUM,Privada,N,N,N,Faculdade,000000005221858,Valparaíso de Goiás,GO,Ativa
14222,Faculdade Presidente Antônio Carlos de Senhora dos Remédios,null,Privada,N,N,N,Faculdade,000000003166204,Senhora dos Remédios,MG,Extinta
1741,FACULDADE DE TECNOLOGIA INTERAMÉRICA,INTERAMERICA,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Extinta
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Pública,N,N,N,Universidade,000000005003702,Dourados,MS,Ativa
1774,Faculdade Anhanguera De Ponta Grossa,null,Privada,N,N,N,Faculdade,000000004119905,Ponta Grossa,PR,Ativa
21672,Faculdade Cerrado,FACE,Privada,N,N,N,Faculdade,000000005300108,Brasília,DF,Ativa
24530,Faculdade da Polícia Militar de Santa Catarina,FAPOM,Pública,N,N,N,Faculdade,000000004205407,Florianópolis,SC,Ativa
3192,FACULDADE SÃO FRANCISCO DE CAJAZEIRAS,FSF,Privada,N,N,N,Faculdade,000000002503704,Cajazeiras,PB,Ativa
3797,CENTRO UNIVERSITÁRIO GUAIRACÁ,UNIGUAIRACÁ,Privada,N,N,N,Centro Universitário,000000004109401,Guarapuava,PR,Ativa
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Pública,N,N,N,Universidade,000000002611606,Recife,PE,Ativa
19327,Faculdade Cesar,FCE,Privada,N,N,N,Faculdade,000000002611606,Recife,PE,Ativa
1834,FACULDADE DE AGUDOS,FAAG,Privada,N,N,N,Faculdade,000000003500709,Agudos,SP,Ativa
80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Privada,S,N,N,Centro Universitário,000000004214805,Rio do Sul,SC,Ativa
2462,FACULDADE SÃO LUÍS,FSL,Privada,N,N,N,Faculdade,000000004202909,Brusque,SC,Ativa
1856,FACULDADE DO NORTE NOVO DE APUCARANA,FACNOPAR,Privada,N,N,N,Faculdade,000000004101408,Apucarana,PR,Ativa
1293,INSTITUTO DE ENSINO SUPERIOR DO OESTE PAULISTA,IESOP,Privada,N,N,N,Faculdade,000000003505500,Barretos,SP,Extinta
13452,FACULDADE DE TECNOLOGIA FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA,null,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Extinta
4742,Faculdade Uninassau Olinda - Nassau Olinda,null,Privada,N,N,N,Faculdade,000000002609600,Olinda,PE,Ativa
873,FACULDADES UNIFICADAS DE FOZ DO IGUAÇU,UNIFOZ,Privada,N,N,N,Faculdade,000000004108304,Foz do Iguaçu,PR,Ativa
23897,Faculdade Pitágoras de  Caruaru,,Privada,N,N,N,Faculdade,000000002604106,Caruaru,PE,Ativa
2027,FACULDADE DE CAMPINA GRANDE,FAC-CG,Privada,N,N,N,Faculdade,000000002504009,Campina Grande,PB,Ativa
2369,INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,Privada,N,N,N,Faculdade,000000004209102,Joinville,SC,Ativa
18201,FACULDADE SENAC PALHOÇA,SENAC Palhoça,Privada,N,N,N,Faculdade,000000004211900,Palhoça,SC,Ativa
23168,Centro de Estudos Superiores de Jataí,,Privada,N,N,N,Faculdade,000000005211909,Jataí,GO,Ativa
1457,Faculdade Estácio de Cotia,Estacio Cotia,Privada,N,N,N,Faculdade,000000003513009,Cotia,SP,Ativa
847,FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS,FPPD,Privada,N,N,N,Faculdade,000000002211001,Teresina,PI,Ativa
1174,FACULDADE DE SABARÁ,SOECS,Privada,N,N,N,Faculdade,000000003156700,Sabará,MG,Ativa
14101,Faculdade Presidente Antônio Carlos de Baependi,FAPAC BAEPENDI,Privada,N,N,N,Faculdade,000000003104908,Baependi,MG,Ativa
495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,Pública,N,N,N,Faculdade,000000003507605,Bragança Paulista,SP,Ativa
610,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DO RIO DE JANEIRO,UNINASSAU,Privada,N,N,N,Centro Universitário,000000003304557,Rio de Janeiro,RJ,Ativa
1556,CENTRO UNIVERSITÁRIO SETE DE SETEMBRO,UNI7,Privada,N,N,N,Centro Universitário,000000002304400,Fortaleza,CE,Ativa
664,UNIVERSIDADE VILA VELHA,UVV,Privada,N,N,N,Universidade,000000003205200,Vila Velha,ES,Ativa
4848,FACULDADE OBOÉ - FACO,FACO,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Extinta
1718,CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA,null,Privada,N,N,N,Centro Universitário,000000002910800,Feira de Santana,BA,Ativa
25334,Faculdade Cidade Teológica Pentecostal,FCTP,Privada,N,N,N,Faculdade,000000002304400,Fortaleza,CE,Ativa
25274,UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,Pública,N,N,N,Universidade,000000005205109,Catalão,GO,Ativa
3008,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,FACULDADE INPG - SJC,Privada,N,N,N,Faculdade,000000003549904,São José dos Campos,SP,Ativa
2870,FACULDADE SERRA DO CARMO,FASEC,Privada,N,N,N,Faculdade,000000001721000,Palmas,TO,Ativa
23818,Instituto Superior da AFAC,ISAFAC,Privada,N,N,N,Faculdade,000000003303302,Niterói,RJ,Ativa
1300,INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH,ITES,Privada,N,N,N,Faculdade,000000003553708,Taquaritinga,SP,Ativa
1597,FACULDADE SANTA FÉ,CESSF,Privada,N,N,N,Faculdade,000000002111300,São Luís,MA,Ativa
1459,CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO,UNIFUCAMP,Privada,N,N,N,Centro Universitário,000000003143104,Monte Carmelo,MG,Ativa
18700,Faculdade AGES de Jeremoabo,AGES,Privada,N,N,N,Faculdade,000000002918100,Jeremoabo,BA,Extinta
137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Privada,N,S,N,Centro Universitário,000000003506003,Bauru,SP,Ativa
1411,FACULDADE DOIS DE JULHO,F2J,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
1567,FACULDADE VIZINHANÇA VALE DO IGUAÇU,VIZIVALI,Pública,N,N,N,Faculdade,000000004107207,Dois Vizinhos,PR,Extinta
3034,Faculdade Anhanguera de Salvador,FACDELTA,Privada,N,N,N,Faculdade,000000002927408,Salvador,BA,Ativa
4789,INSTITUTO CENTRO DE ENSINO TECNOLÓGICO - LIMOEIRO DO NORTE,CENTEC,Privada,N,N,N,Faculdade,000000002307601,Limoeiro do Norte,CE,Extinta
15753,FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL,FATEC JBL,Pública,N,N,N,Faculdade,000000003524303,Jaboticabal,SP,Ativa
2644,INSTITUTO DE EDUCAÇÃO SUPERIOR DO TAPAJÓS,ISET,Privada,N,N,N,Faculdade,000000001503606,Itaituba,PA,Extinta
20410,Faculdade de Indiara,FAIND,Privada,N,N,N,Faculdade,000000005209952,Indiara,GO,Ativa
2130,FACULDADE EVANGÉLICA DE TEOLOGIA DE BELO HORIZONTE,FATE-BH,Privada,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Extinta
2308,FACULDADE GEREMÁRIO DANTAS,SFNSC,Privada,N,N,N,Faculdade,000000003304557,Rio de Janeiro,RJ,Extinta
533,FACULDADES INTEGRADAS DE ITAPETININGA,FII,Privada,N,N,N,Faculdade,000000003522307,Itapetininga,SP,Ativa
788,FACULDADE DE RONDÔNIA,FARO,Privada,N,N,N,Faculdade,000000001100205,Porto Velho,RO,Ativa
3388,CENTRO UNIVERSITÁRIO PARAÍSO,null,Privada,N,N,N,Centro Universitário,000000002307304,Juazeiro do Norte,CE,Ativa
1921,FACULDADE DE SÃO BENTO,FSB,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
3977,FACULDADE DE TECNOLOGIA DO AMAPÁ,META,Privada,N,N,N,Faculdade,000000001600303,Macapá,AP,Ativa
14249,Faculdade Presidente Antônio Carlos de Congonhas,,Privada,N,N,N,Faculdade,000000003118007,Congonhas,MG,Extinta
23700,Faculdade de Tecnologia de Ferraz de Vasconcelos,,Pública,N,N,N,Faculdade,000000003515707,Ferraz de Vasconcelos,SP,Ativa
17933,FACULDADE REDENTOR DE PARAÍBA DO SUL,FACREDENTOR,Privada,N,N,N,Faculdade,000000003303708,Paraíba do Sul,RJ,Extinta
2045,FACULDADE AMADEUS,FAMA,Privada,N,N,N,Faculdade,000000002800308,Aracaju,SE,Ativa
22197,FACULDADE ATENAS PASSOS,,Privada,N,N,N,Faculdade,000000003147907,Passos,MG,Ativa
16782,Faculdade Mário Quintana,FAMAQUI,Privada,N,N,N,Faculdade,000000004314902,Porto Alegre,RS,Ativa
22650,Faculdade Impactos - FACI,FACI,Privada,N,N,N,Faculdade,000000005103403,Cuiabá,MT,Ativa
21827,Instituto Friburgo de Ensino Superior,IFES,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
14199,INSTITUTO SUPERIOR DE EDUCAÇÃO DO ALTO SÃO FRANCISCO,ISAF,Privada,N,N,N,Instituto Superior ou Escola Superior,000000003100203,Abaeté,MG,Extinta
18260,Faculdade Estácio de Imperatriz - ESTÁCIO IMPERATRIZ,,Privada,N,N,N,Faculdade,000000002105302,Imperatriz,MA,Extinta
20700,FACULDADE DE DESENVOLVIMENTO DO NORTE,FADENORTE,Privada,N,N,N,Faculdade,000000003161106,São Francisco,MG,Ativa
135,Claretiano - Centro Universitário,CLARETIANOBT,Privada,S,N,N,Centro Universitário,000000003505906,Batatais,SP,Ativa
22641,Faculdade Metropolitana de Parintins,FAMETRO,Privada,N,N,N,Faculdade,000000001303403,Parintins,AM,Ativa
19865,Faculdade Una de Pouso Alegre,Una PousoAlegre,Privada,N,N,N,Faculdade,000000003152501,Pouso Alegre,MG,Ativa
3051,FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS,FAETEL,Privada,N,N,N,Faculdade,000000003550308,São Paulo,SP,Ativa
